Timestamp,Target,PacketSize,Hop,Host,Loss%,Snt,Last,Avg,Best,Wrst,StDev
2023-05-03 21:14:32.044651,20.164.37.45,128,5.|--,172.18.9.4,0.0%,10,4.1,3.9,3.4,4.5,0.3
2023-05-03 21:14:32.044651,20.164.37.45,128,6.|--,172.18.9.6,0.0%,10,3.9,5.1,3.6,13.0,2.9
2023-05-03 21:14:32.044651,20.164.37.45,128,7.|--,67.73.160.1,0.0%,10,4.6,5.1,3.1,12.6,3.3
2023-05-03 21:14:32.044651,20.164.37.45,128,8.|--,200.189.207.210,0.0%,10,18.4,19.2,18.2,23.6,1.6
2023-05-03 21:14:32.044651,20.164.37.45,128,9.|--,4.68.68.86,0.0%,10,18.2,18.1,17.6,18.5,0.3
2023-05-03 21:14:32.044651,20.164.37.45,128,10.|--,104.44.235.212,0.0%,10,60.6,61.6,59.4,65.8,2.0
2023-05-03 21:14:32.044651,20.164.37.45,128,11.|--,104.44.33.155,0.0%,10,333.8,340.4,333.7,396.5,19.7
2023-05-03 21:14:32.044651,20.164.37.45,128,12.|--,104.44.19.15,10.0%,10,335.0,334.2,333.5,335.0,0.4
2023-05-03 21:14:32.044651,20.164.37.45,128,13.|--,104.44.16.47,60.0%,10,334.3,334.4,334.2,334.6,0.2
2023-05-03 21:14:32.044651,20.164.37.45,128,14.|--,104.44.29.8,0.0%,10,335.5,334.7,333.7,336.6,0.9
2023-05-03 21:14:32.044651,20.164.37.45,128,15.|--,104.44.29.144,0.0%,10,333.8,334.0,333.6,334.4,0.3
2023-05-03 21:14:32.044651,20.164.37.45,128,16.|--,104.44.29.233,0.0%,10,334.3,334.3,333.9,334.8,0.3
2023-05-03 21:14:32.044651,20.164.37.45,128,17.|--,104.44.29.152,0.0%,10,334.8,334.5,334.1,334.9,0.3
2023-05-03 21:14:32.044651,20.164.37.45,128,18.|--,104.44.29.167,0.0%,10,334.1,333.8,333.3,334.1,0.2
